热点网格,,,,所有的,,,,,,
区县,网格,HOT_GRID,预警次数,检查次数,发现问题数,报警次数,反馈次数,反馈问题数,2017秋冬季,2018秋冬季
濮阳县,T46006,1,0 ,9 ,0 ,0 ,0 ,0 ,85 ,88 
濮阳县,T46010,1,0 ,15 ,1 ,0 ,0 ,0 ,85 ,87 
濮阳县,T46917,1,1,41,1,0,0,0,86 ,92 
濮阳县,T46926,1,0 ,0 ,0 ,0 ,0 ,0 ,85 ,86 
濮阳县,T47378,1,0 ,11 ,1 ,0 ,0 ,0 ,86 ,92 
濮阳县,T47382,1,0 ,4 ,1 ,0 ,0 ,0 ,85 ,88 
濮阳县,T47840,1,0 ,44 ,3 ,0 ,0 ,0 ,85 ,87 
经开区,T48743,1,0 ,30 ,4 ,0 ,0 ,0 ,85 ,93 
濮阳县,T48744,1,1 ,6 ,0 ,0 ,0 ,0 ,86 ,94 
濮阳县,T48745,1,0 ,1 ,1 ,0 ,0 ,0 ,87 ,100 
濮阳县,T48746,1,0 ,25 ,1 ,0 ,0 ,0 ,88 ,96 
濮阳县,T48747,1,0 ,48 ,2 ,0 ,0 ,0 ,87 ,96 
濮阳县,T48756,1,0 ,48 ,7 ,0 ,0 ,0 ,85 ,87 
范县,T48757,1,0 ,35 ,7 ,0 ,0 ,0 ,85 ,88 
经开区,T49200,1,0 ,34 ,0 ,0 ,0 ,0 ,86 ,93 
华龙区,T49203,1,0 ,16 ,1 ,0 ,0 ,0 ,88 ,98 
华龙区,T49204,1,0 ,31 ,0 ,0 ,0 ,0 ,87 ,96 
濮阳县,T49205,1,0 ,21 ,0 ,0 ,0 ,0 ,87 ,95 
濮阳县,T49208,1,0 ,95 ,9 ,0 ,0 ,0 ,85 ,91 
濮阳县,T49209,1,0 ,48 ,5 ,0 ,0 ,0 ,85 ,90 
濮阳县,T49210,1,0 ,46 ,7 ,0 ,0 ,0 ,85 ,89 
范县,T49214,1,1 ,43 ,2 ,0 ,0 ,0 ,92 ,112 
范县,T49215,1,0 ,105 ,17 ,0 ,0 ,0 ,85 ,90 
范县,T49216,1,0 ,13 ,1 ,0 ,0 ,0 ,85 ,88 
经开区,T49655,1,0 ,4 ,2 ,0 ,0 ,0 ,85 ,91 
经开区,T49657,1,0 ,263 ,10 ,19 ,19 ,1 ,90 ,106 
经开区,T49658,1,1 ,376 ,13 ,35 ,36 ,15 ,89 ,102 
华龙区,T49660,1,0 ,91 ,9 ,52 ,55 ,24 ,88 ,107 
华龙区,T49661,1,0 ,54 ,3 ,0 ,0 ,0 ,87 ,98 
华龙区,T49662,1,1 ,65 ,3 ,20 ,21 ,8 ,89 ,108 
濮阳县,T49667,1,0 ,62 ,3 ,0 ,0 ,0 ,85 ,90 
范县,T49672,1,0 ,5 ,0 ,0 ,0 ,0 ,92 ,109 
华龙区,T50117,1,0 ,64 ,2 ,3 ,3 ,0 ,87 ,103 
华龙区,T50118,1,1 ,23 ,0 ,0 ,0 ,0 ,86 ,97 
华龙区,T50119,1,1 ,83 ,0 ,2 ,2 ,0 ,92 ,112 
华龙区,T50120,1,1 ,104 ,4 ,36 ,43 ,5 ,94 ,115 
清丰县,T50575,1,0 ,23 ,2 ,15 ,20 ,9 ,89 ,100 
范县,T51047,1,0 ,5 ,2 ,0 ,0 ,0 ,85 ,99 
清丰县,T51490,1,1 ,83 ,5 ,0 ,0 ,0 ,91 ,101 
清丰县,T51491,1,1 ,89 ,1 ,0 ,0 ,0 ,90 ,99 
范县,T51505,1,0 ,41 ,5 ,0 ,0 ,0 ,84 ,93 
清丰县,T51948,1,0 ,80 ,1 ,0 ,0 ,0 ,90 ,100 
台前县,T52427,1,0 ,1 ,1 ,0 ,0 ,0 ,81 ,94 
台前县,T52430,1,0 ,8 ,0 ,0 ,0 ,0 ,81 ,95 
台前县,T52431,1,0 ,18 ,1 ,0 ,0 ,0 ,80 ,95 
台前县,T52888,1,0 ,6 ,1 ,0 ,0 ,0 ,81 ,96 
台前县,T52889,1,0 ,25 ,1 ,0 ,0 ,0 ,80 ,95 
台前县,T53345,1,0 ,5 ,1 ,0 ,0 ,0 ,81 ,96 
台前县,T53346,1,1 ,31 ,1 ,0 ,0 ,0 ,81 ,91 
南乐县,T54692,1,1 ,49 ,1 ,0 ,0 ,0 ,87 ,105 
南乐县,T54693,1,0 ,18 ,1 ,13 ,17 ,17 ,90 ,102 
南乐县,T54697,1,0 ,11 ,0 ,0 ,0 ,0 ,81 ,95 
南乐县,T55145,1,0 ,17 ,0 ,0 ,0 ,0 ,84 ,97 
南乐县,T55150,1,1 ,41 ,3 ,0 ,0 ,0 ,88 ,112 
南乐县,T55151,1,0 ,20 ,3 ,0 ,0 ,0 ,81 ,97 
南乐县,T55614,1,1 ,15 ,3 ,0 ,0 ,0 ,79 ,92 
濮阳县,T48288,-1,0 ,3 ,2 ,0 ,0 ,0 ,41 ,29 
华龙区,T49202,-1,0 ,10 ,0 ,9 ,10 ,5 ,41 ,27 
华龙区,T49659,-1,0 ,65 ,5 ,0 ,0 ,0 ,41 ,27 
濮阳县,T49670,-1,0 ,17 ,2 ,0 ,0 ,0 ,42 ,28 
经开区,T50114,-1,0 ,12 ,0 ,0 ,0 ,0 ,40 ,27 
清丰县,T50126,-1,0 ,0 ,0 ,0 ,0 ,0 ,42 ,28 
清丰县,T50583,-1,0 ,0 ,0 ,0 ,0 ,0 ,42 ,28 
清丰县,T50584,-1,0 ,0 ,0 ,0 ,0 ,0 ,42 ,28 
范县,T50590,-1,0 ,3 ,1 ,0 ,0 ,0 ,41 ,28 
范县,T50595,-1,0 ,0 ,0 ,0 ,0 ,0 ,40 ,27 
范县,T51506,-1,0 ,19 ,1 ,0 ,0 ,0 ,40 ,28 
范县,T51507,-1,0 ,0 ,0 ,0 ,0 ,0 ,40 ,28 
范县,T51511,-1,0 ,21 ,6 ,0 ,0 ,0 ,40 ,27 
台前县,T51515,-1,0 ,2 ,0 ,0 ,0 ,0 ,39 ,26 
台前县,T51517,-1,0 ,0 ,0 ,0 ,0 ,0 ,39 ,25 
清丰县,T51947,-1,0 ,39 ,0 ,0 ,0 ,0 ,43 ,27 
台前县,T52428,-1,0 ,0 ,0 ,0 ,0 ,0 ,40 ,27 
台前县,T53344,-1,0 ,11 ,0 ,0 ,0 ,0 ,40 ,27 
台前县,T53801,-1,0 ,0 ,0 ,0 ,0 ,0 ,40 ,27 
台前县,T53805,-1,0 ,18 ,0 ,0 ,0 ,0 ,40 ,25 
南乐县,T55146,-1,1 ,10 ,0 ,0 ,0 ,0 ,40 ,30 
南乐县,T55607,-1,0 ,11 ,0 ,0 ,0 ,0 ,40 ,30 
濮阳县,T45546,2,0 ,12 ,2 ,0 ,0 ,0 ,43 ,61 
濮阳县,T45553,2,0 ,11 ,0 ,0 ,0 ,0 ,42 ,60 
濮阳县,T48752,2,0 ,13 ,3 ,0 ,0 ,0 ,43 ,63 
范县,T48758,2,0 ,26 ,4 ,0 ,0 ,0 ,43 ,60 
华龙区,T49201,2,0 ,34 ,2 ,0 ,0 ,0 ,46 ,68 
濮阳县,T49666,2,0 ,83 ,6 ,0 ,0 ,0 ,44 ,64 
